i,name,halantname,type,karma,iXt,english,hindi,dhaatu,ii,startshal
१.०६९,भिक्षँ,भिक्ष्, आत्मनेपदी, सकर्मकः,सेट्,"to ask, to beg, to request","याचना करना, मांगना, प्राप्त करना, प्राप्त न होना",भिक्ष्भिक्षँ भिक्षायामलाभे लाभे चभ्वादिः,690,FALSE
१.०६९१,क्लेशँ,क्लेश्, आत्मनेपदी, सकर्मकः,सेट्,"to speak inarticulately, to irritate, to give pain","अस्पष्ट शब्द करना, दुख देना, सताना",क्लेश्क्लेशँ अव्यक्तायां वाचिभ्वादिः,691,FALSE
१.०६९२,दक्षँ,दक्ष्, आत्मनेपदी, अकर्मकः,सेट्,"to prosper, to grow, to act fastm to be quick, to be alert","समृद्ध होना, शीघ्र कार्य करना, चतुर होना",दक्ष्दक्षँ वृद्धौ शीघ्रार्थे चभ्वादिः,692,FALSE
१.०६९३,दीक्षँ,दीक्ष्, आत्मनेपदी, अकर्मकः,सेट्,"to shave, to perform a sacrifice, to initiate a mantra, to perform sacred thread ceremony, to practise self-restraint, to teach religious activities","मुण्डन करना, यज्ञ करना, दीक्षा देना, उपनयन करना, आत्मनिग्रह करना, धर्म सिखाना, आदेश देना",दीक्ष्दीक्षँ मौण्ड्येज्योपनयननियमव्रतादेशेषुभ्वादिः,693,FALSE
१.०६९४,ईक्षँ,ईक्ष्, आत्मनेपदी, सकर्मकः,सेट्,"to see, to perceive","देखना, अवलोकन करना",ईक्ष्ईक्षँ दर्शनेभ्वादिः,694,FALSE
१.०६९५,ईषँ,ईष्, आत्मनेपदी, सकर्मकः,सेट्,"to go, to kill, to see","जाना, मारना, देखना",ईष्ईषँ गतिहिंसादर्शनेषुभ्वादिः,695,FALSE
१.०६९६,भाषँ,भाष्, आत्मनेपदी, सकर्मकः,सेट्,"to articulate, to explain, to elocute",स्पष्ट बोलना,भाष्भाषँ व्यक्तायां वाचिभ्वादिः,696,FALSE
१.०६९७,वर्षँ,वर्ष्, आत्मनेपदी, अकर्मकः,सेट्,"to be wet, to be slippery","गीला होना, भीगना, चिकना होना",वर्ष्वर्षँ स्नेहनेभ्वादिः,697,FALSE
१.०६९८,गेषृँ,गेष्, आत्मनेपदी, सकर्मकः,सेट्,"to search, to investigate, to find out, to seek","ढूँढना, पता लगाना",गेष्गेषृँ अन्विच्छायाम्भ्वादिः,698,FALSE
१.०६९९,ग्लेषृँ,ग्लेष्, आत्मनेपदी, सकर्मकः,सेट्,"to search, to investigate, to find out, to seek",,ग्लेष्ग्लेषृँ अन्विच्छायाम्भ्वादिः,699,FALSE
१.०७,पेषृँ,पेष्, आत्मनेपदी, सकर्मकः,सेट्,"to try, to attempt",कोशिश करना,पेष्पेषृँ प्रयत्नेभ्वादिः,700,FALSE
१.०७०१,एषृँ,एष्, आत्मनेपदी, सकर्मकः,सेट्,"to try, to attempt",,एष्एषृँ प्रयत्नेभ्वादिः,701,FALSE
१.०७०२,येषृँ,येष्, आत्मनेपदी, सकर्मकः,सेट्,"to try, to attempt",,येष्येषृँ प्रयत्नेभ्वादिः,702,FALSE
१.०७०३,जेषृँ,जेष्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,जेष्जेषृँ गतौभ्वादिः,703,FALSE
१.०७०४,णेषृँ,नेष्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,नेष्णेषृँ गतौभ्वादिः,704,FALSE
१.०७०५,एषृँ,एष्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,एष्एषृँ गतौभ्वादिः,705,FALSE
१.०७०६,प्रेषृँ,प्रेष्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,प्रेष्प्रेषृँ गतौभ्वादिः,706,FALSE
१.०७०७,रेषृँ,रेष्, आत्मनेपदी, अकर्मकः,सेट्,"to snicker, to sound inarticulately","अस्पष्ट शब्द करना, हिनहिनाना",रेष्रेषृँ अव्यक्ते शब्देभ्वादिः,707,FALSE
१.०७०८,हेषृँ,हेष्, आत्मनेपदी, अकर्मकः,सेट्,"to snicker, to sound inarticulately","अस्पष्ट शब्द करना, हिनहिनाना",हेष्हेषृँ अव्यक्ते शब्देभ्वादिः,708,FALSE
१.०७०९,ह्रेषृँ,ह्रेष्, आत्मनेपदी, अकर्मकः,सेट्,"to snicker, to sound inarticulately","अस्पष्ट शब्द करना, हिनहिनाना",ह्रेष्ह्रेषृँ अव्यक्ते शब्देभ्वादिः,709,FALSE
१.०७१,कासृँ,कास्, आत्मनेपदी, अकर्मकः,सेट्,to cough,"खांसना, खंखारना",कास्कासृँ शब्दकुत्सायाम्भ्वादिः,710,FALSE
१.०७११,भासृँ,भास्, आत्मनेपदी, अकर्मकः,सेट्,"to shine, to appear, to become evident, to glow","चमकना, प्रकाशित होना",भास्भासृँ दीप्तौभ्वादिः,711,FALSE
१.०७१२,णासृँ,नास्, आत्मनेपदी, अकर्मकः,सेट्,to sound,शब्द करना,नास्णासृँ शब्देभ्वादिः,712,FALSE
१.०७१३,रासृँ,रास्, आत्मनेपदी, अकर्मकः,सेट्,to sound,शब्द करना,रास्रासृँ शब्देभ्वादिः,713,FALSE
१.०७१४,णसँ,नस्, आत्मनेपदी, अकर्मकः,सेट्,to be crooked,"टेढ़ा होना, वक्र होना, नम होना",नस्णसँ कौटिल्येभ्वादिः,714,FALSE
१.०७१५,भ्यसँ,भ्यस्, आत्मनेपदी, अकर्मकः,सेट्,"to fear, to be afraid","भय करना, डरना",भ्यस्भ्यसँ भयेभ्वादिः,715,FALSE
१.०७१६,शसिँ,शंस्, आत्मनेपदी, सकर्मकः,सेट्,to wish,इच्छा करना,शंस्शसिँ इच्छायाम्भ्वादिः,716,FALSE
१.०७१७,ग्रसुँ,ग्रस्, आत्मनेपदी, सकर्मकः,सेट्,"to eat, to devour, to swallow, to consume, to seize, to eclipse","खाना, निगलना",ग्रस्ग्रसुँ अदनेभ्वादिः,717,FALSE
१.०७१८,ग्लसुँ,ग्लस्, आत्मनेपदी, सकर्मकः,सेट्,"to eat, to devour, to swallow, to consume, to seize, to eclipse",खाना,ग्लस्ग्लसुँ अदनेभ्वादिः,718,FALSE
१.०७१९,ईहँ,ईह्, आत्मनेपदी, अकर्मकः,सेट्,to try,प्रयत्न करना,ईह्ईहँ चेष्टायाम्भ्वादिः,719,FALSE
१.०७२,वहिँ,वंह्, आत्मनेपदी, अकर्मकः,सेट्,to grow,बढ़ना,वंह्वहिँ वृद्धौभ्वादिः,720,FALSE
१.०७२१,महिँ,मंह्, आत्मनेपदी, अकर्मकः,सेट्,to grow,बढ़ना,मंह्महिँ वृद्धौभ्वादिः,721,FALSE
१.०७२२,अहिँ,अंह्, आत्मनेपदी, सकर्मकः,सेट्,to grow,जाना,अंह्अहिँ गतौभ्वादिः,722,FALSE
१.०७२३,गर्हँ,गर्ह्, आत्मनेपदी, सकर्मकः,सेट्,"to blame, to censure","निन्दा करना, दोष लगाना",गर्ह्गर्हँ कुत्सायाम्भ्वादिः,723,FALSE
१.०७२४,गल्हँ,गल्ह्, आत्मनेपदी, सकर्मकः,सेट्,"to blame, to censure",निन्दा करना,गल्ह्गल्हँ कुत्सायाम्भ्वादिः,724,FALSE
१.०७२५,बर्हँ,बर्ह्, आत्मनेपदी, सकर्मकः,सेट्,"to be eminent, to be superior",श्रेष्ठ होना,बर्ह्बर्हँ प्राधान्येभ्वादिः,725,FALSE
१.०७२६,बल्हँ,बल्ह्, आत्मनेपदी, सकर्मकः,सेट्,"to be eminent, to be superior",श्रेष्ठ होना,बल्ह्बल्हँ प्राधान्येभ्वादिः,726,FALSE
१.०७२७,वर्हँ,वर्ह्, आत्मनेपदी, सकर्मकः,सेट्,"to speak, to kill, to hurt, to cover","बोलना, मारना, दुख देना, आच्छादित करना, ढकना",वर्ह्वर्हँ परिभाषणहिंसाच्छादनेषुभ्वादिः,727,FALSE
१.०७२८,वल्हँ,वल्ह्, आत्मनेपदी, सकर्मकः,सेट्,"to speak, to kill, to hurt, to cover","बोलना, मारना, दुख देना, आच्छादित करना, ढकना",वल्ह्वल्हँ परिभाषणहिंसाच्छादनेषुभ्वादिः,728,FALSE
१.०७२९,प्लिहँ,प्लिह्, आत्मनेपदी, सकर्मकः,सेट्,to go,जाना,प्लिह्प्लिहँ गतौभ्वादिः,729,FALSE
१.०७३,वेहृँ,वेह्, आत्मनेपदी, अकर्मकः,सेट्,"to endeavour, to try",कोशिश करना,वेह्वेहृँ प्रयत्नेभ्वादिः,730,FALSE
१.०७३१,जेहृँ,जेह्, आत्मनेपदी, अकर्मकः,सेट्,"to endeavour, to try","कोशिश करना, जाना",जेह्जेहृँ प्रयत्ने गतौ चभ्वादिः,731,FALSE
१.०७३२,बाहृँ,बाह्, आत्मनेपदी, अकर्मकः,सेट्,"to endeavour, to try",कोशिश करना,बाह्बाहृँ प्रयत्नेभ्वादिः,732,FALSE
१.०७३३,द्राहृँ,द्राह्, आत्मनेपदी, अकर्मकः,सेट्,"to wake up, to stay awake","जगना, जागृत रहना",द्राह्द्राहृँ निद्राक्षये निक्षेपे चभ्वादिः,733,FALSE
१.०७३४,काशृँ,काश्, आत्मनेपदी, अकर्मकः,सेट्,"to shine, to glow",चमकना,काश्काशृँ दीप्तौभ्वादिः,734,FALSE
१.०७३५,ऊहँ,ऊह्, आत्मनेपदी, सकर्मकः,सेट्,"to conjecture, to infer, to guess, to reason, to imagine, to hypothesize","तर्क करना, कल्पना करना",ऊह्ऊहँ वितर्केभ्वादिः,735,FALSE
१.०७३६,गाहूँ,गाह्, आत्मनेपदी, सकर्मकः,वेट्,"to destroy, to counterattack","नष्ट करना, मर्म भेद करना",गाह्गाहूँ विलोडनेभ्वादिः,736,FALSE
१.०७३७,गृहूँ,गृह्, आत्मनेपदी, सकर्मकः,वेट्,"to take, to seize, to accept","लेना, स्वीकार करना",गृह्गृहूँ ग्रहणेभ्वादिः,737,FALSE
१.०७३८,ग्लहँ,ग्लह्, आत्मनेपदी, सकर्मकः,सेट्,"to take, to seize, to accept",लेना,ग्लह्ग्लहँ ग्रहणे अपादाने चभ्वादिः,738,FALSE
१.०७३९,घुङ,घुङ्, आत्मनेपदी, अकर्मकः,अनिट्,to sound,,घुङ्घुङ शब्देभ्वादिः,739,FALSE
१.०७४,घुषिँ,घुंष्, आत्मनेपदी, सकर्मकः,सेट्,"to cleanse, to purify","स्वच्छ करना, चमकाना, साफ करना",घुंष्घुषिँ कान्तिकरणेभ्वादिः,740,FALSE
१.०७४१,घुषिँरँ,घुषिँर्, परस्मैपदी, सकर्मकः,सेट्,to make indistinct sound,"मन में विचार कर कहना, प्रशंसा करना, तरह तरह के शब्द करना",घुषिँर्घुषिँरँ अविशब्दनेभ्वादिः,741,FALSE
१.०७४२,अक्षूँ,अक्ष्, परस्मैपदी, सकर्मकः,वेट्,"to pervade, to reach",व्याप्त होना,अक्ष्अक्षूँ व्याप्तौभ्वादिः,742,FALSE
१.०७४३,तक्षूँ,तक्ष्, परस्मैपदी, सकर्मकः,वेट्,"to sharpen, to peel off","तेज करना, छीलना",तक्ष्तक्षूँ तनूकरणेभ्वादिः,743,FALSE
१.०७४४,त्वक्षूँ,त्वक्ष्, परस्मैपदी, सकर्मकः,वेट्,to reduce in size,छोटा करना,त्वक्ष्त्वक्षूँ तनूकरणेभ्वादिः,744,FALSE
१.०७४५,उक्षँ,उक्ष्, परस्मैपदी, सकर्मकः,सेट्,"to sprinkle, to wet","सींचना, गीला करना",उक्ष्उक्षँ सेचनेभ्वादिः,745,FALSE
१.०७४६,रक्षँ,रक्ष्, परस्मैपदी, सकर्मकः,सेट्,"to protect, to watch, to take care of",पालन करना,रक्ष्रक्षँ पालनेभ्वादिः,746,FALSE
१.०७४७,णिक्षँ,निक्ष्, परस्मैपदी, सकर्मकः,सेट्,to kiss,चुम्बन लेना,निक्ष्णिक्षँ चुम्बनेभ्वादिः,747,FALSE
१.०७४८,त्रक्षँ,त्रक्ष्, परस्मैपदी, सकर्मकः,सेट्,to kiss,,त्रक्ष्त्रक्षँ गतौभ्वादिः,748,FALSE
१.०७४९,ष्ट्रक्षँ,स्त्रक्ष्, परस्मैपदी, सकर्मकः,सेट्,to kiss,,स्त्रक्ष्ष्ट्रक्षँ गतौभ्वादिः,749,FALSE
१.०७५,तृक्षँ,तृक्ष्, परस्मैपदी, सकर्मकः,सेट्,to go,जाना,तृक्ष्तृक्षँ गतौभ्वादिः,750,FALSE
१.०७५१,ष्टृक्षँ,स्तृक्ष्, परस्मैपदी, सकर्मकः,सेट्,to kiss,जाना,स्तृक्ष्ष्टृक्षँ गतौभ्वादिः,751,FALSE
१.०७५२,णक्षँ,नक्ष्, परस्मैपदी, सकर्मकः,सेट्,to go,जाना,नक्ष्णक्षँ गतौभ्वादिः,752,FALSE
१.०७५३,वक्षँ,वक्ष्, परस्मैपदी, अकर्मकः,सेट्,"to be angry, to collect, to gather","क्रोध करना, बटोरना, ढेर करना",वक्ष्वक्षँ रोषे सङ्घाते चभ्वादिः,753,FALSE
१.०७५४,मृक्षँ,मृक्ष्, परस्मैपदी, अकर्मकः,सेट्,"to collect, to heap, to pile up","एकत्र करना, बटोरना",मृक्ष्मृक्षँ सङ्घातेभ्वादिः,754,FALSE
१.०७५५,म्रक्षँ,म्रक्ष्, परस्मैपदी, अकर्मकः,सेट्,"to collect, to heap, to pile up",,म्रक्ष्म्रक्षँ सङ्घातेभ्वादिः,755,FALSE
१.०७५६,तक्षँ,तक्ष्, परस्मैपदी, सकर्मकः,सेट्,to cover,"आच्छादित करना, ग्रहण करना, एक ओर होना",तक्ष्तक्षँ त्वचनेभ्वादिः,756,FALSE
१.०७५७,पक्षँ,पक्ष्, परस्मैपदी, सकर्मकः,सेट्,to take side,,पक्ष्पक्षँ परिग्रहेभ्वादिः,757,FALSE
१.०७५८,सूर्क्षँ,सूर्क्ष्, परस्मैपदी, सकर्मकः,सेट्,"to respect, to honor","आदर करना, सम्मान करना",सूर्क्ष्सूर्क्षँ आदरेभ्वादिः,758,FALSE
१.०७५९,षर्क्षँ,सर्क्ष्, परस्मैपदी, सकर्मकः,सेट्,"to respect, to honor",,सर्क्ष्षर्क्षँ आदरेभ्वादिः,759,FALSE
१.०७६,काक्षिँ,काङ्क्ष्, परस्मैपदी, सकर्मकः,सेट्,"to desire, to long for, to wish","चाहना, इच्छा करना",काङ्क्ष्काक्षिँ काङ्क्षायाम्भ्वादिः,760,TRUE
१.०७६१,वाक्षिँ,वाङ्क्ष्, परस्मैपदी, सकर्मकः,सेट्,"to desire, to long for, to wish","चाहना, इच्छा करना",वाङ्क्ष्वाक्षिँ काङ्क्षायाम्भ्वादिः,761,TRUE
१.०७६२,माक्षिँ,माङ्क्ष्, परस्मैपदी, सकर्मकः,सेट्,"to desire, to long for, to wish","चाहना, इच्छा करना",माङ्क्ष्माक्षिँ काङ्क्षायाम्भ्वादिः,762,TRUE
१.०७६३,द्राक्षिँ,द्राङ्क्ष्, परस्मैपदी, अकर्मकः,सेट्,"to desire, to long for, to wish, to caw","कांव कांव करना, इच्छा करना, चाहना",द्राङ्क्ष्द्राक्षिँ काङ्क्षायाम् घोरवाशिते चभ्वादिः,763,TRUE
१.०७६४,ध्राक्षिँ,ध्राङ्क्ष्, परस्मैपदी, अकर्मकः,सेट्,"to desire, to long for, to wish, to caw","कांव कांव करना, इच्छा करना, चाहना",ध्राङ्क्ष्ध्राक्षिँ काङ्क्षायाम् घोरवाशिते चभ्वादिः,764,TRUE
१.०७६५,ध्वाक्षिँ,ध्वाङ्क्ष्, परस्मैपदी, अकर्मकः,सेट्,"to desire, to long for, to wish, to caw","कांव कांव करना, इच्छा करना, चाहना",ध्वाङ्क्ष्ध्वाक्षिँ काङ्क्षायाम् घोरवाशिते चभ्वादिः,765,TRUE
१.०७६६,ध्माक्षिँ,ध्माङ्क्ष्, परस्मैपदी, अकर्मकः,सेट्,"to desire, to long for, to wish, to caw",,ध्माङ्क्ष्ध्माक्षिँ काङ्क्षायाम् घोरवाशिते चभ्वादिः,766,TRUE
१.०७६७,चूषँ,चूष्, परस्मैपदी, सकर्मकः,सेट्,to suck,चूसना,चूष्चूषँ पानेभ्वादिः,767,FALSE
१.०७६८,तूषँ,तूष्, परस्मैपदी, अकर्मकः,सेट्,"to be satisfied, to be happy",तृप्त होना,तूष्तूषँ तुष्टौभ्वादिः,768,FALSE
१.०७६९,पूषँ,पूष्, परस्मैपदी, अकर्मकः,सेट्,to grow,"बढ़ना, पालन करना",पूष्पूषँ वृद्धौभ्वादिः,769,FALSE
१.०७७,मूषँ,मूष्, परस्मैपदी, सकर्मकः,सेट्,to steal to rob,चोरी करना,मूष्मूषँ स्तेयेभ्वादिः,770,FALSE
१.०७७१,लूषँ,लूष्, परस्मैपदी, सकर्मकः,सेट्,to decorate,"शृङ्गार करना, सुशोभित करना",लूष्लूषँ भूषायाम्भ्वादिः,771,FALSE
१.०७७२,रूषँ,रूष्, परस्मैपदी, सकर्मकः,सेट्,to decorate,"शृङ्गार करना, सुशोभित करना",रूष्रूषँ भूषायाम्भ्वादिः,772,FALSE
१.०७७३,शूषँ,शूष्, परस्मैपदी, सकर्मकः,सेट्,"to deliver, to give birth","उत्पन्न करना, प्रसूत करना",शूष्शूषँ प्रसवेभ्वादिः,773,FALSE
१.०७७४,सूषँ,सूष्, परस्मैपदी, सकर्मकः,सेट्,"to deliver, to give birth",,सूष्सूषँ प्रसवेभ्वादिः,774,FALSE
१.०७७५,यूषँ,यूष्, परस्मैपदी, सकर्मकः,सेट्,"to kill, to destroy","हिंसा करना, मारना",यूष्यूषँ हिंसायाम्भ्वादिः,775,FALSE
१.०७७६,जूषँ,जूष्, परस्मैपदी, सकर्मकः,सेट्,"to kill, to destroy","हिंसा करना, मारना",जूष्जूषँ हिंसायाम्भ्वादिः,776,FALSE
१.०७७७,भूषँ,भूष्, परस्मैपदी, सकर्मकः,सेट्,"to adorn, to decorate","अंलकृत करना, सजाना",भूष्भूषँ अलङ्कारेभ्वादिः,777,FALSE
१.०७७८,तसिँ,तंस्, परस्मैपदी, सकर्मकः,सेट्,"to adorn, to decorate",,तंस्तसिँ अलङ्कारेभ्वादिः,778,FALSE
१.०७७९,ऊषँ,ऊष्, परस्मैपदी, सकर्मकः,सेट्,to be ill,"रोगी होना, बीमार होना",ऊष्ऊषँ रुजायाम्भ्वादिः,779,FALSE
१.०७८,ईषँ,ईष्, परस्मैपदी, सकर्मकः,सेट्,"to glean, to gather particle by particle","एक एक दाना उठाना, बीनना",ईष्ईषँ उञ्छेभ्वादिः,780,FALSE
१.०७८१,कषँ,कष्, परस्मैपदी, सकर्मकः,सेट्,"to kill, to destroy, to hurt","मारना, हिंसा करना",कष्कषँ हिंसायाम्भ्वादिः,781,FALSE
१.०७८२,खषँ,खष्, परस्मैपदी, सकर्मकः,सेट्,"to kill, to destroy, to hurt","मारना, हिंसा करना",खष्खषँ हिंसायाम्भ्वादिः,782,FALSE
१.०७८३,शिषँ,शिष्, परस्मैपदी, सकर्मकः,अनिट्,"to kill, to destroy, to hurt","मारना, हिंसा करना",शिष्शिषँ हिंसायाम्भ्वादिः,783,FALSE
१.०७८४,जषँ,जष्, परस्मैपदी, सकर्मकः,सेट्,"to kill, to destroy, to hurt","मारना, हिंसा करना",जष्जषँ हिंसायाम्भ्वादिः,784,FALSE
१.०७८५,झषँ,झष्, परस्मैपदी, सकर्मकः,सेट्,"to kill, to destroy, to hurt","मारना, हिंसा करना",झष्झषँ हिंसायाम्भ्वादिः,785,FALSE
१.०७८६,शषँ,शष्, परस्मैपदी, सकर्मकः,सेट्,"to kill, to destroy, to hurt","मारना, हिंसा करना",शष्शषँ हिंसायाम्भ्वादिः,786,FALSE
१.०७८७,वषँ,वष्, परस्मैपदी, सकर्मकः,सेट्,"to kill, to destroy, to hurt","मारना, हिंसा करना",वष्वषँ हिंसायाम्भ्वादिः,787,FALSE
१.०७८८,मषँ,मष्, परस्मैपदी, सकर्मकः,सेट्,"to kill, to destroy, to hurt","मारना, हिंसा करना",मष्मषँ हिंसायाम्भ्वादिः,788,FALSE
१.०७८९,रुषँ,रुष्, परस्मैपदी, सकर्मकः,सेट्,"to kill, to destroy, to hurt","मारना, हिंसा करना",रुष्रुषँ हिंसायाम्भ्वादिः,789,FALSE
१.०७९,रिषँ,रिष्, परस्मैपदी, सकर्मकः,सेट्,"to kill, to destroy, to hurt","मारना, हिंसा करना",रिष्रिषँ हिंसायाम्भ्वादिः,790,FALSE
१.०७९१,भषँ,भष्, परस्मैपदी, अकर्मकः,सेट्,"to bark, to revile, to abuse, to criticise","भोंकना, कुत्ते के समान शब्द करना",भष्भषँ भर्त्सनेभ्वादिः,791,FALSE
१.०७९२,उषँ,उष्, परस्मैपदी, सकर्मकः,सेट्,to burn,जलना,उष्उषँ दाहेभ्वादिः,792,FALSE
१.०७९३,जिषुँ,जिष्, परस्मैपदी, सकर्मकः,अनिट्,to sprinkle,"प्रोक्षण करना, सींचना",जिष्जिषुँ सेचनेभ्वादिः,793,FALSE
१.०७९४,विषुँ,विष्, परस्मैपदी, सकर्मकः,अनिट्,to sprinkle,"प्रोक्षण करना, सींचना",विष्विषुँ सेचनेभ्वादिः,794,FALSE
१.०७९५,मिषुँ,मिष्, परस्मैपदी, सकर्मकः,सेट्,to sprinkle,"प्रोक्षण करना, सींचना",मिष्मिषुँ सेचनेभ्वादिः,795,FALSE
१.०७९६,णिषुँ,निष्, परस्मैपदी, सकर्मकः,सेट्,to sprinkle,,निष्णिषुँ सेचनेभ्वादिः,796,FALSE
१.०७९७,पुषँ,पुष्, परस्मैपदी, सकर्मकः,सेट्,"to nourish, to bring up, to support, to protect, to take care, to feed","पालन करना, पोषण करना",पुष्पुषँ पुष्टौभ्वादिः,797,FALSE
१.०७९८,श्रिषुँ,श्रिष्, परस्मैपदी, सकर्मकः,सेट्,to set on fire,"जलाना, दग्ध करना",श्रिष्श्रिषुँ दाहेभ्वादिः,798,FALSE
१.०७९९,श्लिषुँ,श्लिष्, परस्मैपदी, सकर्मकः,सेट्,to set on fire,"जलाना, दग्ध करना",श्लिष्श्लिषुँ दाहेभ्वादिः,799,FALSE
१.०८,प्रुषुँ,प्रुष्, परस्मैपदी, सकर्मकः,सेट्,to set on fire,जलाना,प्रुष्प्रुषुँ दाहेभ्वादिः,800,FALSE
१.०८०१,प्लुषुँ,प्लुष्, परस्मैपदी, सकर्मकः,सेट्,to set on fire,जलाना,प्लुष्प्लुषुँ दाहेभ्वादिः,801,FALSE
१.०८०२,पृषुँ,पृष्, परस्मैपदी, सकर्मकः,सेट्,"to sprinkle, to kill, to destroy, to hurt","हिंसा करना, सींचना, कष्ट देना",पृष्पृषुँ सेचनहिंसासङ्क्लेशनेषुभ्वादिः,802,FALSE
१.०८०३,वृषुँ,वृष्, परस्मैपदी, सकर्मकः,सेट्,"to sprinkle, to kill, to destroy, to hurt","सींचना, मारना, कष्ट देना",वृष्वृषुँ सेचनहिंसासङ्क्लेशनेषुभ्वादिः,803,FALSE
१.०८०४,मृषुँ,मृष्, परस्मैपदी, सकर्मकः,सेट्,"to sprinkle, to suffer, to endure, to bear, to tolerate","सींचना, सहन करना",मृष्मृषुँ सेचने सहने चभ्वादिः,804,FALSE
१.०८०५,घृषुँ,घृष्, परस्मैपदी, सकर्मकः,सेट्,"to grind, to strike, to rub, to brush, to polish",लड़ाई करना,घृष्घृषुँ सङ्घर्षेभ्वादिः,805,FALSE
१.०८०६,हृषुँ,हृष्, परस्मैपदी, अकर्मकः,सेट्,"to be delighted, to rejoice, to be happy, to fill with pleasure, to speak lie","झूट बोलना, मिथ्या बोलना",हृष्हृषुँ अलीकेभ्वादिः,806,FALSE
१.०८०७,तुसँ,तुस्, परस्मैपदी, अकर्मकः,सेट्,to sound,शब्द करना,तुस्तुसँ शब्देभ्वादिः,807,FALSE
१.०८०८,ह्रसँ,ह्रस्, परस्मैपदी, अकर्मकः,सेट्,to sound,शब्द करना,ह्रस्ह्रसँ शब्देभ्वादिः,808,FALSE
१.०८०९,ह्लसँ,ह्लस्, परस्मैपदी, अकर्मकः,सेट्,to sound,शब्द करना,ह्लस्ह्लसँ शब्देभ्वादिः,809,FALSE
१.०८१,रसँ,रस्, परस्मैपदी, अकर्मकः,सेट्,to sound,शब्द करना,रस्रसँ शब्देभ्वादिः,810,FALSE
१.०८११,लसँ,लस्, परस्मैपदी, अकर्मकः,सेट्,"to embrace, to hug, to linger, to enjoy, to come to light, to play","आलिंगन करना, गले लगाना, खेलना, रमण करना",लस्लसँ श्लेषणक्रीडनयोःभ्वादिः,811,FALSE
१.०८१२,घसॢँ,घस्, परस्मैपदी, सकर्मकः,अनिट्,"to eat, to devour, to binge, to overeat",खाना,घस्घसॢँ अदनेभ्वादिः,812,FALSE
१.०८१३,जर्जँ,जर्ज्, परस्मैपदी, सकर्मकः,सेट्,"to speak, to to blame, to kill, to reprove, to hit","बोलना, हिंसा करना, तोड़फोड़ करना",जर्ज्जर्जँ परिभाषणहिंसातर्जनेषुभ्वादिः,813,FALSE
१.०८१४,चर्चँ,चर्च्, परस्मैपदी, सकर्मकः,सेट्,"to speak, to to blame, to kill, to reprove, to hit","बोलना, हिंसा करना, तोड़फोड़ करना",चर्च्चर्चँ परिभाषणहिंसातर्जनेषुभ्वादिः,814,FALSE
१.०८१५,झर्झँ,झर्झ्, परस्मैपदी, सकर्मकः,सेट्,"to speak, to to blame, to kill, to reprove, to hit","बोलना, हिंसा करना, तोड़फोड़ करना",झर्झ्झर्झँ परिभाषणहिंसातर्जनेषुभ्वादिः,815,FALSE
१.०८१६,पिसृँ,पिस्, परस्मैपदी, सकर्मकः,सेट्,to go,जाना,पिस्पिसृँ गतौभ्वादिः,816,FALSE
१.०८१७,पेसृँ,पेस्, परस्मैपदी, सकर्मकः,सेट्,to go,जाना,पेस्पेसृँ गतौभ्वादिः,817,FALSE
१.०८१८,विसँ,विस्, परस्मैपदी, सकर्मकः,सेट्,to go,,विस्विसँ गतौभ्वादिः,818,FALSE
१.०८१९,वेसँ,वेस्, परस्मैपदी, सकर्मकः,सेट्,to go,,वेस्वेसँ गतौभ्वादिः,819,FALSE
१.०८२,बिसँ,बिस्, परस्मैपदी, सकर्मकः,सेट्,to go,,बिस्बिसँ गतौभ्वादिः,820,FALSE
१.०८२१,बेसँ,बेस्, परस्मैपदी, सकर्मकः,सेट्,to go,,बेस्बेसँ गतौभ्वादिः,821,FALSE
१.०८२२,हसेँ,हस्, परस्मैपदी, अकर्मकः,सेट्,"to laugh, to smile, to joke, to ridicule",हसना,हस्हसेँ हसनेभ्वादिः,822,FALSE
१.०८२३,णिशँ,निश्, परस्मैपदी, अकर्मकः,सेट्,"to meditate upon, to think calmly",समाधौ,निश्णिशँ समाधौभ्वादिः,823,FALSE
१.०८२४,मिशँ,मिश्, परस्मैपदी, अकर्मकः,सेट्,"to make noise, to be angry, to tie, to bind, to go","शब्द करना, क्रोध करना, बंधना, जाना",मिश्मिशँ शब्दे रोषकृते गतौ चभ्वादिः,824,FALSE
१.०८२५,मशँ,मश्, परस्मैपदी, अकर्मकः,सेट्,"to make noise, to be angry, to tie, to bind, to go","शब्द करना, क्रोध करना, जाना",मश्मशँ शब्दे रोषकृते गतौ चभ्वादिः,825,FALSE
१.०८२६,शवँ,शव्, परस्मैपदी, सकर्मकः,सेट्,to go,जाना,शव्शवँ गतौभ्वादिः,826,FALSE
१.०८२७,शशँ,शश्, परस्मैपदी, अकर्मकः,सेट्,"to jump, to dance, to leap","कूदते हुए जाना, फुदकते हुए जाना",शश्शशँ प्लुतगतौभ्वादिः,827,FALSE
१.०८२८,शसुँ,शस्, परस्मैपदी, अकर्मकः,सेट्,"to kill, to destroy","हिंसा करना, मारना",शस्शसुँ हिंसायाम्भ्वादिः,828,FALSE
